date,disease,sinan_notifications,google_trends,wikipedia_pageviews,year
2023-12-31,chikungunya,11824,1,3325,2023
2024-01-07,chikungunya,2769,1,5966,2024
2024-01-14,chikungunya,8992,1,5966,2024
2024-01-21,chikungunya,12414,1,5966,2024
2024-01-28,chikungunya,13848,2,5966,2024
2024-02-04,chikungunya,8584,2,9697,2024
2024-02-11,chikungunya,13453,2,9697,2024
2024-02-18,chikungunya,23529,3,9697,2024
2024-02-25,chikungunya,22295,3,9697,2024
2024-03-03,chikungunya,10048,3,12047,2024
2024-03-10,chikungunya,15008,3,12047,2024
2024-03-17,chikungunya,24471,3,12047,2024
2024-03-24,chikungunya,16417,2,12047,2024
2024-03-31,chikungunya,13914,2,12047,2024
2024-04-07,chikungunya,3114,2,6855,2024
2024-04-14,chikungunya,16229,2,6855,2024
2024-04-21,chikungunya,14751,2,6855,2024
2024-04-28,chikungunya,17686,2,6855,2024
2024-05-05,chikungunya,4111,2,3613,2024
2024-05-12,chikungunya,12450,2,3613,2024
2024-05-19,chikungunya,10962,2,3613,2024
2024-05-26,chikungunya,6958,1,3613,2024
2024-06-02,chikungunya,12880,1,1503,2024
2024-06-09,chikungunya,3041,1,1503,2024
2024-06-16,chikungunya,5642,1,1503,2024
2024-06-23,chikungunya,4610,1,1503,2024
2024-06-30,chikungunya,12166,1,1503,2024
2024-07-07,chikungunya,1482,1,997,2024
2024-07-14,chikungunya,3203,1,997,2024
2024-07-21,chikungunya,2689,1,997,2024
2024-07-28,chikungunya,9176,1,997,2024
2024-08-04,chikungunya,8120,1,939,2024
2024-08-11,chikungunya,1909,0,939,2024
2024-08-18,chikungunya,2061,1,939,2024
2024-08-25,chikungunya,1815,0,939,2024
2024-09-01,chikungunya,11819,1,657,2024
2024-09-08,chikungunya,2003,0,657,2024
2024-09-15,chikungunya,1647,0,657,2024
2024-09-22,chikungunya,1572,0,657,2024
2024-09-29,chikungunya,8749,0,657,2024
2024-10-06,chikungunya,3308,0,697,2024
2024-10-13,chikungunya,1455,0,697,2024
2024-10-20,chikungunya,1493,0,697,2024
2024-10-27,chikungunya,3295,0,697,2024
2024-11-03,chikungunya,12553,0,798,2024
2024-11-10,chikungunya,1700,0,798,2024
2024-11-17,chikungunya,1724,0,798,2024
2024-11-24,chikungunya,2074,0,798,2024
2024-12-01,chikungunya,12684,0,808,2024
2024-12-08,chikungunya,2059,1,808,2024
2024-12-15,chikungunya,2583,1,808,2024
2024-12-22,chikungunya,1701,1,808,2024
2024-12-29,chikungunya,1232,1,808,2024
2025-01-05,chikungunya,4412,1,1169,2025
2025-01-12,chikungunya,5946,1,1169,2025
2025-01-19,chikungunya,7695,1,1169,2025
2025-01-26,chikungunya,8769,1,1169,2025
2025-02-02,chikungunya,9313,1,1240,2025
2025-02-09,chikungunya,10260,1,1240,2025
2025-02-16,chikungunya,9713,1,1240,2025
2025-02-23,chikungunya,8804,1,1240,2025
2025-03-02,chikungunya,6731,1,1650,2025
2025-03-09,chikungunya,9080,1,1650,2025
2025-03-16,chikungunya,9454,1,1650,2025
2025-03-23,chikungunya,9625,1,1650,2025
2025-03-30,chikungunya,9976,1,1650,2025
2025-04-06,chikungunya,9528,1,1828,2025
2025-04-13,chikungunya,7870,1,1828,2025
2025-04-20,chikungunya,9270,1,1828,2025
2025-04-27,chikungunya,8025,1,1828,2025
2025-05-04,chikungunya,9345,1,1828,2025
2025-05-11,chikungunya,8778,1,1828,2025
2025-05-18,chikungunya,8489,1,1828,2025
2025-05-25,chikungunya,7135,1,1828,2025
2025-06-01,chikungunya,5956,1,1967,2025
2025-06-08,chikungunya,5471,1,1967,2025
2025-06-15,chikungunya,3561,1,1967,2025
2025-06-22,chikungunya,3763,1,1967,2025
2025-06-29,chikungunya,3179,0,1967,2025
2025-07-06,chikungunya,2931,1,2003,2025
2025-07-13,chikungunya,2852,1,2003,2025
2025-07-20,chikungunya,2462,1,2003,2025
2025-07-27,chikungunya,2454,0,2003,2025
2025-08-03,chikungunya,2319,1,2824,2025
2025-08-10,chikungunya,2068,0,2824,2025
2025-08-17,chikungunya,2276,0,2824,2025
2025-08-24,chikungunya,1907,1,2824,2025
2025-08-31,chikungunya,2005,1,2824,2025
2025-09-07,chikungunya,1956,0,1523,2025
2025-09-14,chikungunya,2103,0,1523,2025
2025-09-21,chikungunya,2137,0,1523,2025
2025-09-28,chikungunya,1893,0,1523,2025
2025-10-05,chikungunya,1921,0,1528,2025
2025-10-12,chikungunya,1741,0,1528,2025
2025-10-19,chikungunya,1915,0,1528,2025
2025-10-26,chikungunya,1558,0,1528,2025
2025-11-02,chikungunya,1826,0,1230,2025
2025-11-09,chikungunya,1934,0,1230,2025
2025-11-16,chikungunya,1446,0,1230,2025
2025-11-23,chikungunya,1826,0,1230,2025
2025-11-30,chikungunya,1780,0,1230,2025
2025-12-07,chikungunya,1652,0,1116,2025
2025-12-14,chikungunya,1546,0,1116,2025
2025-12-21,chikungunya,968,0,1116,2025
2025-12-28,chikungunya,617,0,1116,2025
2023-12-31,dengue,92264,11,2801,2023
2024-01-07,dengue,39220,15,6645,2024
2024-01-14,dengue,72473,18,6645,2024
2024-01-21,dengue,107323,25,6645,2024
2024-01-28,dengue,142770,43,6645,2024
2024-02-04,dengue,173800,64,26504,2024
2024-02-11,dengue,184633,68,26504,2024
2024-02-18,dengue,294598,93,26504,2024
2024-02-25,dengue,295384,100,26504,2024
2024-03-03,dengue,264412,94,26547,2024
2024-03-10,dengue,304718,87,26547,2024
2024-03-17,dengue,415721,86,26547,2024
2024-03-24,dengue,378407,77,26547,2024
