date,sinan_notified_cases
2024-12-29,359
2025-01-05,683
2025-01-12,725
2025-01-19,902
2025-01-26,1165
2025-02-02,1736
2025-02-09,1997
2025-02-16,1651
2025-02-23,1130
2025-03-02,1257
2025-03-09,1283
2025-03-16,1224
2025-03-23,1131
2025-03-30,1314
2025-04-06,1344
2025-04-13,1125
2025-04-20,1212
2025-04-27,1054
2025-05-04,1034
2025-05-11,890
2025-05-18,744
2025-05-25,634
2025-06-01,493
2025-06-08,313
2025-06-15,267
2025-06-22,232
2025-06-29,191
2025-07-06,192
2025-07-13,153
2025-07-20,159
2025-07-27,134
2025-08-03,135
2025-08-10,154
2025-08-17,148
2025-08-24,132
2025-08-31,139
2025-09-07,135
2025-09-14,146
2025-09-21,121
2025-09-28,134
2025-10-05,120
2025-10-12,140
2025-10-19,114
2025-10-26,132
2025-11-02,116
2025-11-09,118
2025-11-16,109
2025-11-23,107
2025-11-30,134
2025-12-07,101
2025-12-14,88
2025-12-21,100
2025-12-28,47
