date,sinan_notified_cases
2024-12-29,19667
2025-01-05,37335
2025-01-12,43133
2025-01-19,51420
2025-01-26,56376
2025-02-02,57389
2025-02-09,64909
2025-02-16,71991
2025-02-23,71311
2025-03-02,79447
2025-03-09,87485
2025-03-16,90265
2025-03-23,86788
2025-03-30,87162
2025-04-06,79625
2025-04-13,67988
2025-04-20,74507
2025-04-27,63568
2025-05-04,61192
2025-05-11,53776
2025-05-18,46354
2025-05-25,33025
2025-06-01,25427
2025-06-08,18377
2025-06-15,12862
2025-06-22,11037
2025-06-29,9511
2025-07-06,8065
2025-07-13,7206
2025-07-20,6857
2025-07-27,6314
2025-08-03,6092
2025-08-10,6171
2025-08-17,6462
2025-08-24,6060
2025-08-31,6338
2025-09-07,6584
2025-09-14,7002
2025-09-21,6722
2025-09-28,7259
2025-10-05,6955
2025-10-12,6868
2025-10-19,6532
2025-10-26,6531
2025-11-02,6512
2025-11-09,6923
2025-11-16,6407
2025-11-23,6881
2025-11-30,7370
2025-12-07,6981
2025-12-14,6526
2025-12-21,5688
2025-12-28,2939
